Frequency (Hz)	Level (dB)
571.289062	-48.038017
572.265625	-47.827709
573.242188	-49.185265
574.218750	-48.672462
575.195312	-49.628662
576.171875	-50.157051
577.148438	-48.942448
578.125000	-48.378876
579.101562	-49.746456
580.078125	-49.945244
581.054688	-49.109467
582.031250	-48.761196
583.007812	-49.353954
583.984375	-50.335354
584.960938	-50.469398
585.937500	-49.694996
586.914062	-50.645851
587.890625	-50.000061
588.867188	-50.610004
589.843750	-50.404442
590.820312	-48.346825
591.796875	-48.559788
592.773438	-49.510258
593.750000	-50.052891
594.726562	-49.047832
595.703125	-50.020855
596.679688	-51.320461
597.656250	-51.828518
598.632812	-50.265709
599.609375	-51.650002
600.585938	-51.043594
601.562500	-50.233757
602.539062	-51.434845
603.515625	-51.034294
604.492188	-50.951889
605.468750	-51.422729
606.445312	-50.864021
607.421875	-50.572220
608.398438	-51.624756
609.375000	-52.272240
610.351562	-50.127518
611.328125	-52.164375
612.304688	-52.853367
613.281250	-52.864830
614.257812	-51.908924
615.234375	-51.579384
616.210938	-52.161606
617.187500	-51.569191
618.164062	-51.770512
619.140625	-52.526405
620.117188	-52.618652
621.093750	-51.696537
622.070312	-52.722969
623.046875	-51.088612
624.023438	-52.711807
625.000000	-53.506237
625.976562	-52.649921
626.953125	-52.668522
627.929688	-53.457455
628.906250	-52.017281
629.882812	-51.579266
630.859375	-52.055206
631.835938	-53.156063
632.812500	-52.960632
633.789062	-53.038414
634.765625	-53.587009
635.742188	-53.002266
636.718750	-52.761925
637.695312	-52.208397
638.671875	-53.312943
639.648438	-52.306229
640.625000	-53.408077
641.601562	-53.627838
642.578125	-53.841827
643.554688	-53.397411
644.531250	-53.475052
645.507812	-53.254753
646.484375	-53.445152
647.460938	-53.209019
648.437500	-54.046982
649.414062	-54.086143
650.390625	-53.923672
651.367188	-52.837746
652.343750	-54.018726
653.320312	-53.378666
654.296875	-53.092052
655.273438	-53.604946
656.250000	-53.506546
657.226562	-53.569912
658.203125	-53.390800
659.179688	-52.587212
660.156250	-52.558834
661.132812	-52.588024
662.109375	-52.968502
663.085938	-54.262516
664.062500	-54.734074
665.039062	-54.252422
666.015625	-53.620396
666.992188	-52.892200
667.968750	-52.986912
668.945312	-53.142418
669.921875	-53.688389
670.898438	-54.144539
671.875000	-53.961075
672.851562	-53.896423
673.828125	-53.733990
674.804688	-54.352047
675.781250	-53.832462
676.757812	-53.547733
677.734375	-53.973347
678.710938	-53.301579
679.687500	-54.041637
680.664062	-55.468803
681.640625	-54.636345
682.617188	-53.216755
683.593750	-53.422955
684.570312	-54.371033
685.546875	-54.104111
686.523438	-53.674095
687.500000	-54.143097
688.476562	-54.411575
689.453125	-55.002090
690.429688	-55.395096
691.406250	-54.901241
692.382812	-55.638706
693.359375	-54.906715
694.335938	-55.633476
695.312500	-54.570591
696.289062	-54.744022
697.265625	-56.578560
698.242188	-54.329903
699.218750	-55.017815
700.195312	-55.027100
701.171875	-54.683960
702.148438	-54.491562
703.125000	-55.676075
704.101562	-54.690948
705.078125	-54.040802
706.054688	-54.600349
707.031250	-54.504944
708.007812	-53.707779
708.984375	-55.173801
709.960938	-55.095856
710.937500	-54.312489
711.914062	-56.072727
712.890625	-55.458469
713.867188	-54.663616
714.843750	-54.147858
715.820312	-54.671967
716.796875	-55.116261
717.773438	-54.627129
718.750000	-55.567131
719.726562	-55.678024
720.703125	-56.520931
721.679688	-54.652664
722.656250	-55.143623
723.632812	-54.004791
724.609375	-56.167320
725.585938	-55.320068
726.562500	-54.461266
727.539062	-55.532005
728.515625	-55.326321
729.492188	-54.793560
730.468750	-56.356621
731.445312	-54.922104
732.421875	-55.386738
733.398438	-55.920387
734.375000	-53.795094
735.351562	-56.224293
736.328125	-54.659916
737.304688	-54.460423
738.281250	-54.238277
739.257812	-53.825218
740.234375	-54.960541
741.210938	-57.505924
742.187500	-55.598297
743.164062	-53.961708
744.140625	-53.892006
745.117188	-54.318848
746.093750	-54.597610
747.070312	-54.166008
748.046875	-54.845745
749.023438	-54.376751
750.000000	-53.511742
750.976562	-53.767906
751.953125	-53.863884
752.929688	-53.691330
753.906250	-53.975147
754.882812	-54.038322
755.859375	-55.012203
756.835938	-53.854107
757.812500	-53.912842
758.789062	-55.191906
759.765625	-54.907345
760.742188	-53.471001
761.718750	-53.956303
762.695312	-52.505245
763.671875	-52.352074
764.648438	-53.399357
765.625000	-52.656155
766.601562	-53.020782
767.578125	-53.378498
768.554688	-53.410412
769.531250	-54.602070
770.507812	-51.263649
771.484375	-53.703381
772.460938	-52.827122
773.437500	-53.182217
774.414062	-51.321587
775.390625	-51.527512
776.367188	-52.280773
777.343750	-53.910877
778.320312	-52.976585
779.296875	-53.412281
780.273438	-52.670181
781.250000	-51.187824
782.226562	-51.758007
783.203125	-52.108582
784.179688	-52.497654
785.156250	-52.588978
786.132812	-52.051685
787.109375	-52.261791
788.085938	-51.256237
789.062500	-50.922749
790.039062	-51.696812
791.015625	-51.724869
791.992188	-50.465622
792.968750	-50.381031
793.945312	-51.840336
794.921875	-51.537247
795.898438	-51.323624
796.875000	-49.942333
797.851562	-51.592472
798.828125	-50.698097
799.804688	-50.964153
800.781250	-49.904682
801.757812	-51.737286
802.734375	-51.497616
803.710938	-50.399780
804.687500	-50.906506
805.664062	-51.749233
806.640625	-50.847389
807.617188	-51.541046
808.593750	-50.066196
809.570312	-50.482391
810.546875	-48.922878
811.523438	-49.210865
812.500000	-50.672569
813.476562	-50.159538
814.453125	-50.730682
815.429688	-51.301804
816.406250	-49.895042
817.382812	-50.104748
818.359375	-49.311920
819.335938	-48.975746
820.312500	-49.226254
821.289062	-49.577427
822.265625	-50.563377
823.242188	-50.567684
824.218750	-50.482769
825.195312	-50.474560
826.171875	-48.883636
827.148438	-49.223835
828.125000	-49.731068
829.101562	-49.741974
830.078125	-50.197021
831.054688	-51.060982
832.031250	-50.864334
833.007812	-50.518497
833.984375	-49.598297
834.960938	-50.315117
835.937500	-49.687008
836.914062	-50.031052
837.890625	-49.915760
838.867188	-49.563675
839.843750	-50.470623
840.820312	-50.846230
841.796875	-50.430092
842.773438	-50.003330
843.750000	-49.877323
844.726562	-49.582977
845.703125	-51.137753
846.679688	-50.453022
847.656250	-49.215626
848.632812	-50.740025
849.609375	-50.261967
850.585938	-50.078854
851.562500	-50.520782
852.539062	-51.094307
853.515625	-51.520119
854.492188	-50.476032
855.468750	-50.299934
856.445312	-50.407978
857.421875	-48.372574
858.398438	-50.616714
859.375000	-50.368084
860.351562	-51.961540
861.328125	-50.846127
862.304688	-50.314220
863.281250	-50.350918
864.257812	-50.715328
865.234375	-51.062542
866.210938	-50.653759
867.187500	-51.027103
868.164062	-50.697403
869.140625	-51.806034
870.117188	-51.551868
871.093750	-51.791332
872.070312	-52.046635
873.046875	-51.176441
874.023438	-51.642792
875.000000	-51.722134
875.976562	-52.184341
876.953125	-50.637493
877.929688	-51.669918
878.906250	-51.097225
879.882812	-52.119732
880.859375	-52.352478
881.835938	-51.347073
882.812500	-52.587742
883.789062	-52.895599
884.765625	-52.421040
885.742188	-52.502510
886.718750	-52.405888
887.695312	-53.071136
