Frequency (Hz)	Level (dB)
595.703125	-63.703434
596.679688	-64.537521
597.656250	-64.833282
598.632812	-64.745163
599.609375	-64.157784
600.585938	-63.932606
601.562500	-63.934586
602.539062	-63.281624
603.515625	-64.025940
604.492188	-62.155045
605.468750	-62.467285
606.445312	-63.791412
607.421875	-62.399529
608.398438	-62.081627
609.375000	-62.050117
610.351562	-61.921158
611.328125	-63.976669
612.304688	-60.505898
613.281250	-60.706734
614.257812	-61.350727
615.234375	-61.737682
616.210938	-61.835091
617.187500	-61.829567
618.164062	-63.106739
619.140625	-60.845867
620.117188	-61.110634
621.093750	-60.772652
622.070312	-58.977966
623.046875	-61.192253
624.023438	-59.908295
625.000000	-60.634106
625.976562	-60.564011
626.953125	-58.964878
627.929688	-59.588024
628.906250	-59.674206
629.882812	-60.110374
630.859375	-60.601345
631.835938	-59.690376
632.812500	-59.454922
633.789062	-60.788975
634.765625	-59.721302
635.742188	-60.269562
636.718750	-60.729561
637.695312	-60.934586
638.671875	-60.438034
639.648438	-60.952065
640.625000	-61.552658
641.601562	-61.815807
642.578125	-60.444706
643.554688	-60.833294
644.531250	-60.981010
645.507812	-60.602421
646.484375	-60.059673
647.460938	-59.894066
648.437500	-61.331711
649.414062	-60.717232
650.390625	-60.185986
651.367188	-60.372753
652.343750	-60.806892
653.320312	-60.631618
654.296875	-60.248081
655.273438	-59.796661
656.250000	-60.102360
657.226562	-61.736259
658.203125	-60.010948
659.179688	-61.606590
660.156250	-61.037724
661.132812	-60.147076
662.109375	-61.533092
663.085938	-61.634136
664.062500	-61.591469
665.039062	-60.177002
666.015625	-59.956699
666.992188	-61.499638
667.968750	-60.017914
668.945312	-61.882477
669.921875	-61.215519
670.898438	-61.374619
671.875000	-60.843288
672.851562	-60.032368
673.828125	-61.690796
674.804688	-61.381439
675.781250	-61.375927
676.757812	-61.445896
677.734375	-62.237965
678.710938	-60.778736
679.687500	-60.641697
680.664062	-61.530025
681.640625	-62.645973
682.617188	-63.482250
683.593750	-59.652996
684.570312	-60.893806
685.546875	-61.497410
686.523438	-61.891918
687.500000	-62.357315
688.476562	-62.453518
689.453125	-61.930141
690.429688	-62.195580
691.406250	-63.261086
692.382812	-61.516373
693.359375	-62.598709
694.335938	-61.805706
695.312500	-64.143929
696.289062	-61.889877
697.265625	-62.886810
698.242188	-63.203243
699.218750	-62.204754
700.195312	-62.261761
701.171875	-63.703411
702.148438	-62.062206
703.125000	-63.158001
704.101562	-64.388138
705.078125	-62.827534
706.054688	-62.891212
707.031250	-62.094524
708.007812	-62.745846
708.984375	-63.431679
709.960938	-63.028343
710.937500	-64.458740
711.914062	-62.872585
712.890625	-63.806919
713.867188	-63.090076
714.843750	-63.715832
715.820312	-63.350601
716.796875	-63.103493
717.773438	-64.341469
718.750000	-65.321663
719.726562	-64.286232
720.703125	-63.997231
721.679688	-65.981674
722.656250	-64.012070
723.632812	-64.947662
724.609375	-63.915199
725.585938	-62.638954
726.562500	-64.170784
727.539062	-64.498993
728.515625	-63.373528
729.492188	-64.812302
730.468750	-64.885864
731.445312	-63.724304
732.421875	-63.971535
733.398438	-63.972237
734.375000	-63.982166
735.351562	-63.911205
736.328125	-64.758896
737.304688	-62.823597
738.281250	-64.283264
739.257812	-64.530396
740.234375	-62.846832
741.210938	-64.816795
742.187500	-64.072762
743.164062	-65.120743
744.140625	-64.607910
745.117188	-63.215862
746.093750	-62.942570
747.070312	-65.473198
748.046875	-63.267159
749.023438	-63.201645
750.000000	-63.596489
750.976562	-63.833427
751.953125	-65.132988
752.929688	-65.189400
753.906250	-64.806908
754.882812	-64.899048
755.859375	-64.412010
756.835938	-64.315811
757.812500	-64.098137
758.789062	-63.971657
759.765625	-65.477051
760.742188	-65.009491
761.718750	-63.864727
762.695312	-64.473534
763.671875	-62.984097
764.648438	-64.342155
765.625000	-65.280815
766.601562	-65.482910
767.578125	-65.272888
768.554688	-65.625687
769.531250	-64.877846
770.507812	-64.736755
771.484375	-65.872932
772.460938	-65.092239
773.437500	-65.435547
774.414062	-64.353775
775.390625	-65.124031
776.367188	-65.057846
777.343750	-65.009521
778.320312	-64.608879
779.296875	-64.729706
780.273438	-64.488365
781.250000	-66.270805
782.226562	-64.975655
783.203125	-63.870480
784.179688	-63.964783
785.156250	-65.225449
786.132812	-64.716972
787.109375	-64.719215
788.085938	-65.387947
789.062500	-64.414436
790.039062	-63.760757
791.015625	-63.923820
791.992188	-64.417664
792.968750	-64.007751
793.945312	-64.413704
794.921875	-64.454079
795.898438	-64.179451
796.875000	-63.706757
797.851562	-63.597092
798.828125	-63.838448
799.804688	-63.437031
800.781250	-63.583023
801.757812	-64.243958
802.734375	-63.861774
803.710938	-63.045460
804.687500	-64.173943
805.664062	-64.185471
806.640625	-62.594185
807.617188	-63.809475
808.593750	-63.808971
809.570312	-62.219055
810.546875	-61.618412
811.523438	-64.012856
812.500000	-62.556160
813.476562	-61.759609
814.453125	-61.805313
815.429688	-62.283588
816.406250	-60.199009
817.382812	-62.176235
818.359375	-61.578339
819.335938	-60.709850
820.312500	-61.126976
821.289062	-60.056068
822.265625	-60.704548
823.242188	-60.381332
824.218750	-60.366013
825.195312	-60.294178
826.171875	-59.348034
827.148438	-59.862984
828.125000	-60.213604
829.101562	-60.402821
830.078125	-62.492474
831.054688	-59.309296
832.031250	-59.599953
833.007812	-59.397537
833.984375	-59.248501
834.960938	-58.953846
835.937500	-60.225323
836.914062	-59.256695
837.890625	-58.685909
838.867188	-58.880196
839.843750	-61.529499
840.820312	-60.273621
841.796875	-59.266907
842.773438	-58.242348
843.750000	-59.094551
844.726562	-57.905506
845.703125	-59.001808
846.679688	-59.104511
847.656250	-57.979465
848.632812	-58.439030
849.609375	-56.903557
850.585938	-59.374119
851.562500	-57.251850
852.539062	-58.337975
853.515625	-57.057102
854.492188	-56.839859
855.468750	-57.064880
856.445312	-56.746357
857.421875	-56.216148
858.398438	-57.400234
859.375000	-56.629501
860.351562	-57.156727
861.328125	-56.732834
862.304688	-56.479225
863.281250	-57.365871
864.257812	-56.896011
865.234375	-57.898933
866.210938	-58.082062
867.187500	-56.143356
868.164062	-56.327206
869.140625	-57.483173
870.117188	-55.738853
871.093750	-57.290375
872.070312	-56.809288
873.046875	-56.322105
874.023438	-56.590656
875.000000	-56.800686
875.976562	-57.454624
876.953125	-55.419556
877.929688	-56.542027
878.906250	-57.313095
879.882812	-56.681023
880.859375	-56.654518
881.835938	-56.273811
882.812500	-59.053162
883.789062	-58.656178
884.765625	-57.935211
885.742188	-56.944485
886.718750	-57.917091
887.695312	-57.323811
888.671875	-57.151085
889.648438	-57.736744
