Frequency (Hz)	Level (dB)
567.382812	-51.617455
568.359375	-50.025059
569.335938	-47.460617
570.312500	-49.062000
571.289062	-50.121643
572.265625	-49.457096
573.242188	-49.638943
574.218750	-49.202053
575.195312	-49.735165
576.171875	-50.578762
577.148438	-50.618885
578.125000	-50.530594
579.101562	-51.300823
580.078125	-52.119102
581.054688	-50.647762
582.031250	-51.773792
583.007812	-51.893757
583.984375	-52.394089
584.960938	-53.333122
585.937500	-54.329243
586.914062	-53.092022
587.890625	-55.080681
588.867188	-55.358006
589.843750	-55.092609
590.820312	-56.365894
591.796875	-56.780521
592.773438	-57.336643
593.750000	-56.982910
594.726562	-57.992661
595.703125	-58.090981
596.679688	-58.894745
597.656250	-60.487495
598.632812	-60.667564
599.609375	-59.293304
600.585938	-60.729450
601.562500	-60.751011
602.539062	-61.185413
603.515625	-60.501328
604.492188	-60.578236
605.468750	-61.400246
606.445312	-60.031090
607.421875	-60.052677
608.398438	-60.199314
609.375000	-59.636395
610.351562	-60.086849
611.328125	-59.538692
612.304688	-60.553257
613.281250	-60.312565
614.257812	-58.931923
615.234375	-59.418468
616.210938	-59.173023
617.187500	-59.396244
618.164062	-57.157257
619.140625	-57.490124
620.117188	-56.505238
621.093750	-58.557060
622.070312	-56.901993
623.046875	-58.725765
624.023438	-59.528946
625.000000	-57.412682
625.976562	-58.218689
626.953125	-58.595440
627.929688	-59.076153
628.906250	-58.703484
629.882812	-58.475452
630.859375	-58.466850
631.835938	-57.830383
632.812500	-58.172634
633.789062	-58.814430
634.765625	-57.656006
635.742188	-59.372932
636.718750	-58.510933
637.695312	-59.556892
638.671875	-60.039646
639.648438	-60.579815
640.625000	-59.621662
641.601562	-59.045254
642.578125	-58.067738
643.554688	-59.850002
644.531250	-57.730934
645.507812	-58.760361
646.484375	-58.247639
647.460938	-58.135601
648.437500	-57.772160
649.414062	-57.440559
650.390625	-57.635509
651.367188	-56.537842
652.343750	-58.740940
653.320312	-56.894669
654.296875	-54.660751
655.273438	-55.446747
656.250000	-55.829151
657.226562	-55.369499
658.203125	-55.100014
659.179688	-54.547699
660.156250	-53.906906
661.132812	-52.169670
662.109375	-53.468029
663.085938	-53.704617
664.062500	-52.858471
665.039062	-50.615208
666.015625	-51.443779
666.992188	-50.584156
667.968750	-48.415329
668.945312	-50.536282
669.921875	-50.956348
670.898438	-50.974876
671.875000	-52.397957
672.851562	-54.155064
673.828125	-52.622215
674.804688	-53.213871
675.781250	-54.994770
676.757812	-55.606529
677.734375	-56.020237
678.710938	-57.723480
679.687500	-58.377850
680.664062	-59.570480
681.640625	-59.729229
682.617188	-60.545872
683.593750	-60.396172
684.570312	-61.267963
685.546875	-62.372154
686.523438	-62.237324
687.500000	-61.997707
688.476562	-62.218262
689.453125	-63.008625
690.429688	-63.574425
691.406250	-63.853222
692.382812	-64.101524
693.359375	-64.357803
694.335938	-64.444000
695.312500	-64.298286
696.289062	-65.243614
697.265625	-64.811172
698.242188	-65.412453
699.218750	-65.622704
700.195312	-66.071457
701.171875	-65.754326
702.148438	-65.713219
703.125000	-65.527367
704.101562	-66.006874
705.078125	-67.132034
706.054688	-67.407745
707.031250	-66.698959
708.007812	-67.536873
708.984375	-67.988052
709.960938	-66.596771
710.937500	-68.256119
711.914062	-68.044327
712.890625	-68.090904
713.867188	-67.750198
714.843750	-67.537437
715.820312	-67.559875
716.796875	-69.913452
717.773438	-69.062302
718.750000	-68.121002
719.726562	-68.387772
720.703125	-67.586105
721.679688	-69.563408
722.656250	-68.512413
723.632812	-68.809486
724.609375	-67.170555
725.585938	-67.922775
726.562500	-69.428101
727.539062	-67.836716
728.515625	-67.914680
729.492188	-68.974464
730.468750	-67.070854
731.445312	-67.652374
732.421875	-67.781227
733.398438	-66.981697
734.375000	-67.394775
735.351562	-66.298958
736.328125	-67.276459
737.304688	-66.669113
738.281250	-66.104187
739.257812	-67.344383
740.234375	-65.599701
741.210938	-67.145645
742.187500	-66.780312
743.164062	-65.652359
744.140625	-65.865120
745.117188	-65.021683
746.093750	-64.825905
747.070312	-64.547363
748.046875	-64.980927
749.023438	-64.358994
750.000000	-64.374275
750.976562	-63.900883
751.953125	-64.262138
752.929688	-63.036304
753.906250	-62.177094
754.882812	-62.482449
755.859375	-62.684719
756.835938	-62.862972
757.812500	-61.732208
758.789062	-60.040154
759.765625	-61.007866
760.742188	-60.647148
761.718750	-61.154911
762.695312	-60.308941
763.671875	-59.889828
764.648438	-61.352489
765.625000	-58.407097
766.601562	-59.307095
767.578125	-58.475643
768.554688	-57.688164
769.531250	-57.297977
770.507812	-56.958237
771.484375	-56.331852
772.460938	-54.778290
773.437500	-55.364174
774.414062	-54.582016
775.390625	-54.066944
776.367188	-53.397228
777.343750	-53.152588
778.320312	-53.104576
779.296875	-50.971714
780.273438	-51.949776
781.250000	-50.676914
782.226562	-50.155739
783.203125	-51.235249
784.179688	-50.701485
785.156250	-50.286858
786.132812	-49.449894
787.109375	-49.863148
788.085938	-50.747910
789.062500	-51.515972
790.039062	-52.326492
791.015625	-53.026070
791.992188	-52.267300
792.968750	-53.510475
793.945312	-55.357258
794.921875	-56.158955
795.898438	-56.415028
796.875000	-57.001122
797.851562	-55.846272
798.828125	-57.532711
799.804688	-58.435780
800.781250	-58.360374
801.757812	-58.595192
802.734375	-59.794556
803.710938	-59.577862
804.687500	-60.156013
805.664062	-60.524967
806.640625	-61.066338
807.617188	-60.859512
808.593750	-61.762901
809.570312	-61.677109
810.546875	-62.120415
811.523438	-62.435940
812.500000	-62.409161
813.476562	-62.228001
814.453125	-63.380802
815.429688	-64.796829
816.406250	-63.054310
817.382812	-64.648384
818.359375	-65.459015
819.335938	-64.293106
820.312500	-64.294632
821.289062	-64.276672
822.265625	-64.152817
823.242188	-64.943687
824.218750	-64.924545
825.195312	-65.873817
826.171875	-64.402374
827.148438	-64.932571
828.125000	-65.414360
829.101562	-65.848541
830.078125	-65.581337
831.054688	-65.426338
832.031250	-65.945480
833.007812	-64.956139
833.984375	-65.703529
834.960938	-65.056793
835.937500	-65.732315
836.914062	-66.472984
837.890625	-65.778648
838.867188	-65.343163
839.843750	-66.062210
840.820312	-65.671432
841.796875	-68.089600
842.773438	-67.552505
843.750000	-65.739510
844.726562	-65.606689
845.703125	-66.956863
846.679688	-66.230927
847.656250	-66.471939
848.632812	-65.700867
849.609375	-66.176460
850.585938	-66.463249
851.562500	-66.065308
852.539062	-66.076363
853.515625	-66.349487
854.492188	-65.760925
855.468750	-66.118301
856.445312	-64.935432
857.421875	-64.655869
858.398438	-64.638016
859.375000	-65.035927
860.351562	-65.414314
861.328125	-65.652794
862.304688	-65.292908
863.281250	-64.226929
864.257812	-64.855423
865.234375	-64.457329
866.210938	-62.722805
867.187500	-64.933517
868.164062	-65.142250
869.140625	-64.954887
870.117188	-63.680759
871.093750	-63.683270
872.070312	-63.298302
873.046875	-63.442493
874.023438	-64.718895
875.000000	-63.438412
875.976562	-62.234444
876.953125	-63.460026
877.929688	-63.630344
878.906250	-62.459301
879.882812	-62.705448
880.859375	-62.811108
881.835938	-61.343937
882.812500	-60.949966
883.789062	-60.977104
884.765625	-61.202850
885.742188	-61.154346
886.718750	-60.014927
887.695312	-59.386539
888.671875	-60.169910
889.648438	-60.720905
890.625000	-60.005867
891.601562	-59.289944
892.578125	-60.030315
893.554688	-58.369270
894.531250	-58.198982
